file,rows,activity_folder,columns
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U01_R01_accel.csv,95,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U01_R02_accel.csv,94,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U01_R03_accel.csv,91,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U02_R01_accel.csv,135,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U02_R02_accel.csv,140,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U02_R03_accel.csv,130,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U03_R01_accel.csv,78,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U03_R02_accel.csv,65,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U03_R03_accel.csv,66,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U04_R01_accel.csv,98,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U04_R02_accel.csv,100,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U04_R03_accel.csv,91,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U05_R01_accel.csv,93,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U05_R02_accel.csv,96,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U05_R03_accel.csv,120,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U06_R01_accel.csv,73,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U06_R02_accel.csv,70,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U06_R03_accel.csv,82,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U07_R01_accel.csv,85,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U07_R02_accel.csv,99,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U07_R03_accel.csv,90,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U08_R01_accel.csv,149,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U08_R02_accel.csv,150,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U08_R03_accel.csv,130,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U09_R01_accel.csv,82,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U09_R02_accel.csv,77,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U09_R03_accel.csv,72,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U10_R01_accel.csv,82,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U10_R02_accel.csv,87,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U10_R03_accel.csv,102,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U11_R01_accel.csv,122,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U11_R02_accel.csv,99,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U11_R03_accel.csv,94,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U12_R01_accel.csv,75,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U12_R02_accel.csv,67,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U12_R03_accel.csv,62,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U13_R01_accel.csv,64,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U13_R02_accel.csv,68,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U13_R03_accel.csv,64,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U14_R01_accel.csv,87,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U14_R02_accel.csv,93,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U14_R03_accel.csv,92,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U21_R01_accel.csv,111,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U21_R02_accel.csv,119,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U22_R01_accel.csv,100,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U22_R02_accel.csv,117,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U23_R01_accel.csv,86,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U23_R02_accel.csv,138,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U24_R01_accel.csv,122,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
/home/vinh_shindo/safewatch-fall-detector-edge-ai/data/raw/WEDA-FALL/dataset/5Hz/D01/U24_R02_accel.csv,91,D01,"accel_time_list, accel_x_list, accel_y_list, accel_z_list"
